STATION_NAME,STATION_ID,X,Y,LATITUDE,LONGITUDE,MRT_TRACK_CODE
ADMIRALTY,NS10,24402.1063,46918.1131,1.440585001,103.8009982,NS
ALJUNIED,EW9,33518.6049,33190.002,1.316432612,103.882893,EW
ANG MO KIO,NS16,29807.2655,39105.772,1.369933175,103.8495535,NS
BAKAU,SE3,36026.0821,41113.8766,1.388092704,103.9054179,SLRT
BANGKIT,BP9,21248.246,40220.9693,1.380017897,103.7726667,BPLRT
BARTLEY,CC12,33168.3039,36108.7003,1.342828338,103.8797462,CC
BAYFRONT,DT16,30867.0093,29368.625,1.281873788,103.8590733,DT
BAYFRONT,CE1,30867.0093,29368.625,1.281873788,103.8590733,CC
BEAUTY WORLD,DT5,21598.1665,35931.2359,1.341223176,103.77581,DT
BEDOK,EW5,38757.952,34024.7048,1.323979969,103.9299587,EW
BEDOK NORTH,DT29,37421.7438,35214.6804,1.334742117,103.9179554,DT
BEDOK RESERVOIR,DT30,39008.3132,35421.0409,1.33660783,103.9322077,DT
BENCOOLEN,DT21,29899.2575,31247.3368,1.29886427,103.8503799,DT
BENDEMEER,DT23,31300.8084,32884.7382,1.313672233,103.8629702,DT
BISHAN,CC15,29762.3507,37046.3699,1.35130868,103.84915,CC
BISHAN,NS17,29649.8988,36994.433,1.350838988,103.8481398,NS
BOON KENG,NE9,31157.0712,33517.6089,1.319395706,103.861679,NE
BOON LAY,EW27,13837.9827,35641.9191,1.338604054,103.7060994,EW
BOTANIC GARDENS,DT9,26087.2663,33852.4484,1.322423979,103.8161362,DT
BOTANIC GARDENS,CC19,25959.4046,33817.7525,1.322110193,103.8149876,CC
BRADDELL,NS18,29500.0972,35848.0687,1.340471684,103.8467942,NS
BRAS BASAH,CC2,29930.7674,31025.9016,1.296861687,103.8506629,CC
BUANGKOK,NE15,34655.3132,40537.2069,1.382877858,103.8931042,NE
BUGIS,DT14,30620.8769,31323.2495,1.299550746,103.8568623,DT
BUGIS,EW12,30491.5648,31424.3503,1.300465076,103.8557007,EW
BUKIT BATOK,NS2,18679.3541,36795.0141,1.349034109,103.74959,NS
BUKIT BROWN,CC18,27707.4166,35102.4802,1.333728882,103.8306903,CC
BUKIT GOMBAK,NS3,18938.3305,37870.6512,1.358761857,103.7519164,NS
BUKIT PANJANG,BP6,20175.9353,39987.9068,1.377909898,103.763034,BPLRT
BUKIT PANJANG,DT1,20011.3981,40108.6838,1.379002117,103.7615559,DT
BUONA VISTA,EW21,23200.36,32167.2655,1.307183467,103.7902028,EW
BUONA VISTA,CC22,23251.7611,32090.7692,1.306491669,103.7906645,CC
CALDECOTT,CC17,28691.2451,35538.768,1.337674508,103.8395281,CC
CANBERRA,NS12,26522.9883,47854.1998,1.443300000,103.8296000,NS
CASHEW,DT2,20362.9591,39043.5835,1.369369831,103.764714,DT
CHANGI AIRPORT,CG2,45254.8614,37711.015,1.357314545,103.9883212,EW
CHENG LIM,SW1,34730.4628,42018.8886,1.396277631,103.8937792,SLRT
CHINATOWN,NE4,29124.9585,29643.4786,1.284359578,103.8434242,NE
CHINATOWN,DT19,29238.9683,29686.5359,1.284748969,103.8444484,DT
CHINESE GARDEN,EW25,16790.7466,36056.3019,1.342352821,103.7326244,EW
CHOA CHU KANG,BP1,18121.6052,40753.8693,1.38483636,103.7445797,BPLRT
CHOA CHU KANG,NS4,18097.9271,40811.9589,1.385361693,103.744367,NS
CITY HALL,EW13,30144.2851,30591.8478,1.292936243,103.852581,EW
CITY HALL,NS25,30144.2851,30591.8478,1.292936243,103.852581,NS
CLARKE QUAY,NE5,29473.1249,30088.7038,1.288386024,103.8465519,NE
CLEMENTI,EW23,20430.06,33026.6075,1.314954492,103.7653168,EW
COMMONWEALTH,EW20,24103.2523,31642.6034,1.302438735,103.7983136,EW
COMPASSVALE,SE1,35475.5631,41821.5783,1.394493046,103.9004726,SLRT
CORAL EDGE,PE3,36820.8455,41757.0642,1.393909226,103.9125574,PLRT
COVE,PE1,36084.2293,42351.1334,1.399281985,103.9059403,PLRT
DAKOTA,CC8,34159.2741,32299.8905,1.30838264,103.888648,CC
DAMAI,PE7,36378.1828,43009.3794,1.405234836,103.9085809,PLRT
DHOBY GHAUT,NS24,29424.1448,31229.3143,1.298701307,103.8461119,NS
DHOBY GHAUT,NE6,29354.3681,31340.3479,1.299705459,103.8454851,NE
DHOBY GHAUT,CC1,29437.9401,31244.9618,1.298842816,103.8462358,CC
DOVER,EW22,21914.5509,32634.1186,1.311405293,103.7786522,EW
DOWNTOWN,DT17,30172.6259,29100.1876,1.27944619,103.8528356,DT
ESPLANADE,CC3,30469.0566,30634.4621,1.293321608,103.8554985,CC
EUNOS,EW7,35782.9553,33560.0776,1.319778952,103.9032339,EW
EXPO,CG1,42270.6232,35193.6223,1.334549778,103.9615134,EW
